85	75	40	3500	1000	169.00	0.09
49	60	57	2449	2449	295.00	0.19
121	60	57	2449	4551	1686.00	0.44
49	90	57	2449	4551	743.00	0.24
49	60	23	4551	2449	827.00	0.7
85	75	40	3500	3500	761.00	1.83
49	60	23	4551	2449	357.00	0.16
49	60	57	2449	2449	2106.00	0.61
121	60	57	4551	2449	2229.00	0.67
85	75	80	3500	3500	2697.00	0.43
85	75	80	3500	3500	2698.00	0.43
49	60	23	2449	4551	79.00	0.09
85	40	40	3500	3500	6453.00	10.9
49	60	57	4551	4551	1221.00	0.38
170	75	40	3500	3500	294.00	0.16
170	75	40	3500	3500	218.00	0.13
121	60	57	4551	2449	2876.00	1.31
49	90	57	2449	4551	1388.00	2.43
121	90	57	4551	4551	86.00	0.09
49	90	57	4551	2449	961.00	0.54
85	75	40	3500	6000	245.00	0.13
85	75	40	6000	3500	57.00	0.11
121	60	57	2449	4551	1338.00	0.38
49	60	57	4551	4551	345.00	0.26
121	60	57	4551	2449	1771.00	0.46
49	60	23	2449	4551	489.00	0.13
121	90	57	2449	2449	216.00	0.12
49	60	57	2449	2449	1402.00	0.32
85	75	40	3500	3500	355.00	0.16
121	60	57	4551	2449	1772.00	0.46
49	90	23	2449	2449	277.00	0.08
85	75	40	3500	3500	791.00	5.31
121	60	57	4551	2449	1457.00	0.38
121	60	57	4551	2449	1890.00	0.5
85	40	40	3500	3500	1773.00	0.43
121	90	57	2449	2449	642.00	0.19
85	75	40	3500	3500	240.00	0.14
121	60	57	4551	2449	4062.00	15.03
121	60	57	4551	2449	2774.00	1.18
121	60	23	2449	2449	388.00	0.14
49	60	23	2449	4551	917.00	0.21
121	60	57	4551	2449	605.00	0.41
49	60	57	4551	4551	2172.00	0.61
49	60	23	2449	4551	706.00	0.15
121	60	23	2449	2449	809.00	0.17
85	40	40	3500	3500	5690.00	0.89
49	60	57	2449	2449	2195.00	0.71
85	40	40	3500	3500	4924.00	0.53
121	60	23	4551	4551	179.00	0.11
85	40	40	3500	3500	2920.00	0.31
121	90	57	2449	2449	193.00	0.1
49	60	23	4551	2449	661.00	0.25
49	90	57	2449	4551	1200.00	0.89
121	60	23	2449	2449	1336.00	0.41
85	40	40	3500	3500	2325.00	0.33
85	75	40	3500	1000	871.00	0.67
85	75	40	3500	3500	615.00	0.36
49	90	57	2449	4551	1536.00	10.11
121	60	57	4551	2449	2775.00	1.18
