85	75	40	1000	3500	14.00	0.09
121	60	57	2449	4551	512.00	0.26
49	90	57	2449	4551	1582.00	17.18
121	60	57	4551	2449	3076.00	1.74
49	60	57	4551	4551	1267.00	0.36
121	60	23	4551	4551	165.00	0.11
85	75	40	3500	3500	373.00	0.17
85	75	40	3500	6000	642.00	0.37
85	75	40	3500	3500	56.00	0.07
49	60	57	4551	4551	2314.00	0.68
85	75	40	3500	3500	426.00	0.17
49	90	57	2449	4551	888.00	0.33
49	60	57	4551	4551	2582.00	0.9
121	90	57	2449	2449	1243.00	1.01
85	75	40	3500	6000	69.00	0.08
121	60	57	4551	2449	3106.00	1.81
85	40	40	3500	3500	2269.00	0.35
121	60	23	2449	2449	639.00	0.15
49	90	57	4551	2449	946.00	0.51
85	110	40	3500	3500	132.00	0.09
49	60	57	2449	2449	834.00	0.26
85	40	40	3500	3500	2922.00	0.32
49	90	57	2449	4551	65.00	0.1
121	90	23	4551	2449	265.00	0.14
121	60	57	4551	2449	3665.00	4.58
49	60	23	2449	4551	1520.00	10.01
121	60	23	4551	4551	416.00	0.16
85	75	40	3500	3500	524.00	0.21
85	75	40	3500	3500	504.00	0.21
121	90	57	4551	4551	122.00	0.08
49	90	57	2449	4551	145.00	0.08
85	75	40	6000	3500	263.00	0.16
121	90	57	2449	2449	783.00	0.23
49	60	23	2449	4551	1111.00	0.32
85	40	40	3500	3500	590.00	0.26
85	75	0	3500	3500	36.00	0.09
121	60	57	2449	4551	14.00	0.1
85	75	80	3500	3500	1728.00	0.37
121	90	57	4551	4551	24.00	0.06
49	60	23	2449	4551	203.00	0.1
85	75	80	3500	3500	3465.00	0.56
85	75	40	1000	3500	824.00	0.27
85	40	40	3500	3500	2525.00	0.32
85	75	40	3500	1000	987.00	2.17
49	60	57	4551	4551	3094.00	1.75
49	60	57	2449	2449	989.00	0.25
121	60	57	2449	4551	2148.00	14.54
85	75	40	3500	3500	633.00	0.27
49	90	57	2449	4551	842.00	0.3
121	90	57	2449	2449	805.00	0.24
85	75	40	3500	3500	273.00	0.15
121	60	57	4551	2449	965.00	0.46
49	90	57	4551	2449	825.00	0.36
121	60	23	2449	2449	1059.00	0.26
121	60	23	2449	2449	173.00	0.11
85	75	80	3500	3500	4980.00	1.47
49	60	23	2449	4551	1235.00	0.46
121	90	57	4551	4551	778.00	0.29
49	60	23	2449	4551	612.00	0.13
121	60	57	2449	4551	2108.00	8.33
85	75	40	3500	3500	409.00	0.16
49	60	57	2449	2449	2314.00	0.83
49	90	57	2449	4551	564.00	0.19
49	90	57	4551	2449	1047.00	0.9
49	60	57	2449	2449	890.00	0.24
49	60	57	4551	4551	1047.00	0.41
121	60	57	4551	2449	2667.00	1.05
85	75	40	3500	3500	259.00	0.14
49	60	57	2449	2449	1791.00	0.44
49	60	23	2449	4551	1458.00	2.57
85	75	80	3500	3500	3906.00	0.69
85	75	80	3500	3500	2131.00	0.39
121	90	57	2449	2449	1047.00	0.47
49	60	57	4551	4551	2011.00	0.51
85	75	40	3500	3500	643.00	1.27
49	60	23	2449	4551	1381.00	1.07
121	60	57	4551	2449	2013.00	0.56
85	75	40	1000	3500	856.00	0.3
49	90	57	2449	4551	335.00	0.16
85	75	80	3500	3500	708.00	0.36
85	75	80	3500	3500	4936.00	1.39
121	60	57	4551	2449	75.00	0.1
121	60	23	4551	4551	899.00	0.66
121	60	57	4551	2449	2697.00	1.09
85	75	80	3500	3500	2660.00	0.43
49	60	57	2449	2449	1551.00	0.35
85	75	40	3500	1000	1011.00	3.46
49	60	23	2449	4551	895.00	0.21
121	60	57	2449	4551	492.00	0.26
85	75	40	3500	6000	856.00	13.12
85	110	40	3500	3500	591.00	0.3
85	75	40	3500	3500	468.00	0.22
49	60	57	2449	2449	911.00	0.25
49	90	23	2449	2449	162.00	0.09
121	90	57	4551	4551	1171.00	1.47
121	60	57	4551	2449	3751.00	5.47
